smiles_r,inchikey,VDss,fup,LogP_pred,LogD_pred,MW,TPSA_NO,HBA,HBD,RotBondCount,LogD_exp,CL_exp,LogD
CC(C)[NH+]1CCC([NH+](C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,XHOJAWVAWFHGHL-UHFFFAOYSA-P,6.6,0.15,4.9,3.0,370.92,23.5,3.0,0.0,5.0,,,3.0
CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,METKIMKYRPQLGS-UHFFFAOYSA-O,0.95,0.94,0.35,-1.4,266.34,84.6,5.0,3.0,8.0,,,-1.4
CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1,NWIUTZDMDHAVTP-UHFFFAOYSA-O,4.8,0.4,2.6,0.81,307.43,50.7,4.0,2.0,11.0,,,0.81
CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,VHYCDWMUTMEGQY-UHFFFAOYSA-O,2.4,0.66,2.2,0.46,325.44,59.9,5.0,2.0,12.0,,,0.46
CC(C)[NH2+]CC(O)COc1cccc2[nH]ccc12,JZQKKSLKJUAGIC-UHFFFAOYSA-O,1.2,0.58,1.8,0.05,248.32,57.3,4.0,3.0,6.0,,,0.05
CC(C)[NH2+]CC(O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-UHFFFAOYSA-O,3.1,0.13,2.7,0.93,259.34,41.5,3.0,2.0,6.0,,,0.93
CC(C)[NH2+]CC(O)c1cc([O-])cc([O-])c1,LMOINURANNBYCM-UHFFFAOYSA-M,6.03,0.9,0.56,-0.66,211.26,72.7,4.0,4.0,4.0,,,-0.66
CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,ZBMZVLHSJCTVON-UHFFFAOYSA-O,1.3,0.62,0.43,-1.4,272.36,78.4,5.0,3.0,6.0,,,-1.4
CC(C)[NH2+]CC(O)c1ccc([O-])c([O-])c1,JWZZKOKVBUJMES-UHFFFAOYSA-M,1.5,0.71,0.79,-0.8,211.26,72.7,4.0,4.0,4.0,,,-0.8
CC(C)c1cccc(C(C)C)c1[O-],OLBCVFGFOZPWHH-UHFFFAOYSA-M,4.7,0.016,4.2,4.2,178.27,20.2,1.0,1.0,2.0,,,4.2
CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,FJLGEFLZQAZZCD-JUFISIKESA-M,0.42,0.0079,2.9,-0.11,411.47,82.7,5.0,3.0,8.0,,,-0.11
CC(CC(c1ccccc1)c1ccccc1)[NH2+]C(C)(C)C,UISARWKNNNHPGI-UHFFFAOYSA-O,5.1,0.08,5.0,2.1,281.44,12.0,1.0,1.0,5.0,,,2.1
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc([O-])c(C(N)=O)c1,SGUAFYQXFOLMHL-UHFFFAOYSA-N,4.8,0.5,1.8,0.97,328.41,95.6,5.0,4.0,8.0,1.06,,1.06
CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,ZSCDBOWYZJWBIY-UHFFFAOYSA-O,16.0,0.051,4.6,3.1,294.43,6.5,2.0,0.0,4.0,,,3.1
CC(CN1c2ccccc2Sc2ccccc21)[NH+](C)C,PWWVAXIEGOYWEE-UHFFFAOYSA-O,14.0,0.09,4.2,2.4,284.42,6.5,2.0,0.0,3.0,,,2.4
CC(CS)C(=O)[NH+]1CCCC1C(=O)[O-],FAKRSMQSSFJEIM-UHFFFAOYSA-N,0.75,0.73,0.97,-2.2,217.29,57.6,4.0,1.0,3.0,,,-2.2
CC(Cc1ccc([O-])cc1)[NH2+]CC(O)c1cc([O-])cc([O-])c1,LSLYOANBFKQKPT-UHFFFAOYSA-L,1.2,0.53,1.5,0.7,303.35,92.9,5.0,5.0,6.0,,,0.7
CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,XQZXYNRDCRIARQ-UHFFFAOYSA-N,0.28,1.0,-2.3,-2.3,777.09,188.4,11.0,8.0,10.0,,,-2.3
CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C([NH3+])Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCC[NH3+])C(=O)NC(C(C)O)C(=O)N1,DEQANNDTNATYII-UHFFFAOYSA-P,0.19,0.35,-0.38,-3.4,1019.24,332.2,20.0,13.0,17.0,,,-3.4
CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)[O-],NUQZXROIVGBRGR-UHFFFAOYSA-M,0.19,0.0036,4.0,0.79,344.75,81.5,6.0,1.0,5.0,,,0.79
CC(Oc1ccccc1)C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])C(C)(C)S[C@H]12,NONJJLVGHLVQQM-CIPDSAHDSA-N,0.3,0.25,2.2,-1.1,364.42,95.9,7.0,2.0,5.0,,,-1.1
CC(S)C(=O)NCC(=O)[O-],YTGJWQPHMWSCST-UHFFFAOYSA-M,1.39,0.45,-0.23,-3.6,163.19,66.4,4.0,2.0,3.0,,,-3.6
CC([NH2+]C(CCc1ccccc1)C(=O)[O-])C(=O)[NH+]1CCCC1C(=O)[O-],LZFZMUMEGBBDTC-UHFFFAOYSA-N,0.38,0.62,0.73,-3.4,348.39,106.9,7.0,3.0,8.0,,,-3.4
CC([NH2+]C(CCc1ccccc1)C(=O)[O-])C(=O)[NH+]1Cc2ccccc2CC1C(=O)[O-],FLSLEGPOVLMJMN-UHFFFAOYSA-N,0.13,0.32,1.8,-2.4,410.46,106.9,7.0,3.0,8.0,,,-2.4
CC(c1nc(-c2ccc(C#N)cc2)cs1)[C@@](O)(Cn1cncn1)c1cc(F)ccc1F,DDFOUSQFMYRUQK-JDMGRSRBSA-N,5.37,0.01,4.0,4.0,437.47,87.6,6.0,1.0,8.0,,,4.0
CC(c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,BCEHBSKCWLPMDN-YRQZNCJOSA-N,2.2,0.42,1.5,1.5,349.31,76.7,6.0,1.0,5.0,,,1.5
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)C(OC(C)=O)=C(C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,QOCSQQHOTMFPPW-WZOXHXITSA-N,0.068,0.0038,9.0,9.0,1164.38,227.4,16.0,3.0,30.0,,,9.0
CC1(C)C(/C=C\C=C\C=C\C=C2/N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,BDBMLMBYCXNVMC-UHFFFAOYSA-M,0.035,0.05,5.4,3.1,752.98,117.8,8.0,1.0,14.0,,,3.1
CC1(C)C(C(=O)[O-])[NH+]2C(=O)CC2S1(=O)=O,FKENQMMABCRJMK-UHFFFAOYSA-N,0.32,0.62,-0.25,-3.7,233.24,91.8,6.0,1.0,1.0,,,-3.7
CC1(C)CC1C(=O)N=C(CCCCCSCC([NH3+])C(=O)[O-])C(=O)[O-],UUNQYGUCVSFAME-UHFFFAOYSA-M,0.15,0.6,-0.068,-4.6,358.45,129.7,7.0,4.0,11.0,,,-4.6
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,AIPSXDXZFKITIG-JNQJZLCISA-N,1.4,0.2,2.3,2.3,434.5,93.1,6.0,2.0,2.0,,,2.3
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,XSFJVAJPIHIPKU-LKPCOXDASA-N,1.08,0.24,2.5,2.5,434.5,93.1,6.0,2.0,2.0,,,2.5
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,KJADKKWYZYXHBB-XBWDGYHZSA-N,0.8,0.72,0.47,0.44,339.36,115.5,9.0,1.0,3.0,,,0.44
CC1(C)SC2C(NC(=O)C(NC(=O)c3cnc4cccnc4c3[O-])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],XMQVYNAURODYCQ-UHFFFAOYSA-M,0.16,0.1,1.8,-1.6,521.55,161.8,11.0,4.0,8.0,,,-1.6
CC1(C)S[C@@H]2C(/[NH+]=C/N3CCCCCC3)C(=O)[NH+]2C1C(=O)[O-],BWWVAEOLVKTZFQ-LIYHIKFFSA-O,0.37,0.9,2.4,0.068,325.43,73.2,6.0,1.0,3.0,,,0.068
CC1(C)S[C@@H]2C(NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],FPPNZSSZRUTDAP-FOQMGDCRSA-M,0.17,0.52,1.2,-5.4,378.4,124.0,8.0,3.0,5.0,,,-5.4
CC1(C)S[C@@H]2C(NC(=O)C(C(=O)[O-])c3ccsc3)C(=O)[NH+]2C1C(=O)[O-],OHKOGUYZJXTSFX-ROBJAFKPSA-M,0.16,0.55,0.88,-5.7,384.43,124.0,8.0,3.0,5.0,,,-5.7
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)NC(N)=[NH2+])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],GIPLLNWRTXVAHM-FOQMGDCRSA-O,0.24,0.8,0.061,-2.3,434.47,177.7,11.0,6.0,6.0,,,-2.3
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)[NH+]3CCNC3=O)c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],JTWOMNBEOCYFNV-WHUXOIGISA-O,0.26,0.65,0.84,-2.5,461.49,148.1,11.0,4.0,5.0,,,-2.5
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)[NH+]3CC[NH+](S(C)(=O)=O)C3=O)c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],YPBATNHYBCGSSN-KVHVJOKZSA-P,0.09,0.7,1.0,-2.3,539.58,173.5,13.0,3.0,6.0,,,-2.3
CC1(C)S[C@@H]2C(NC(=O)C([NH3+])c3ccc([O-])cc3)C(=O)[NH+]2C1C(=O)[O-],LSQZJLSUYDQPKJ-FOQMGDCRSA-N,0.25,0.85,0.42,-1.3,365.4,133.0,8.0,4.0,4.0,,,-1.3
CC1(C)S[C@@H]2C(NC(=O)C([NH3+])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],AVKUERGKIZMTKX-FOQMGDCRSA-O,0.22,0.85,0.85,-0.85,349.4,112.7,7.0,3.0,4.0,,,-0.85
CC1(C)S[C@@H]2C(NC(=O)C(c3ccccc3)S(=O)(=O)[O-])C(=O)[NH+]2C1C(=O)[O-],JETQIUPBHQNHNZ-FOQMGDCRSA-M,0.15,0.5,0.59,-4.7,414.45,141.1,9.0,3.0,5.0,,,-4.7
CC1(C)S[C@@H]2C(NC(=O)COc3ccccc3)C(=O)[NH+]2C1C(=O)[O-],BPLBGHOLXOTWMN-ORHYLEIMSA-N,0.41,0.45,1.9,-1.4,350.39,95.9,7.0,2.0,5.0,,,-1.4
CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)[NH+]2C1C(=O)[O-],JGSARLDLIJGVTE-ORHYLEIMSA-N,0.24,0.4,2.0,-1.3,334.39,86.7,6.0,2.0,4.0,,,-1.3
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])C3=CCC=CC3)[C@H]2SC1,RDLPVSKMFDYCOR-QKFMDRJYSA-O,0.21,0.95,0.48,-2.0,349.4,112.7,7.0,3.0,4.0,,,-2.0
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccc([O-])cc3)[C@H]2SC1,BOEGTKLJZSQCCD-QKFMDRJYSA-N,0.23,0.39,-0.7,-2.1,363.39,133.0,8.0,4.0,4.0,,,-2.1
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccccc3)[C@H]2SC1,ZAIPMKNFIOOWCQ-QKFMDRJYSA-O,0.21,0.85,-0.27,-1.6,347.39,112.7,7.0,3.0,4.0,,,-1.6
CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2[C@@H](C1)[C@@H]1CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@@H]2O,ZABDAGALHQDSEU-SJLJSBKTSA-N,1.2,0.23,2.0,2.0,374.47,94.8,5.0,3.0,2.0,,,2.0
CC1=[NH+]C(=O)[C@](CC[NH+](C(C)C)C(C)C)(c2ccccc2)[C@H]2CCCCN12,QAHRRCMLXFLZTF-FYYLOGMGSA-P,0.58,0.7,4.0,2.6,369.54,35.9,4.0,0.0,6.0,,,2.6
CC1=[NH+]S(=O)(=O)c2cc(Cl)ccc2N1,GDLBFKVLRPITMI-UHFFFAOYSA-O,0.21,0.06,1.2,1.2,230.67,58.5,4.0,1.0,0.0,,,1.2
CC1C(=O)NC(Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O[C@H](C)C[NH2+]C(C2CC2)C(=O)[NH+]1C,WGYPAJVJMXQXTR-HCTXWKHPSA-P,0.1,0.01,4.3,3.7,538.65,99.8,8.0,3.0,3.0,,,3.7
CC1C(=O)O[C@H]2[C@H](O)C34[C@H]5C[C@@H](C(C)(C)C)C36C(O)C(=O)O[C@H]6OC4(C(=O)O5)[C@@]12O,SQOJOAFXDQDRGF-KUUZYNGUSA-N,0.91,0.8,-4.3,-4.5,424.4,148.8,10.0,3.0,0.0,,,-4.5
CC1CC(=O)[N-]N=C1c1ccc(NN=C(C#N)C#N)cc1,YZLHWEZEYCXULW-UHFFFAOYSA-M,0.24,0.02,2.2,0.87,280.28,113.4,7.0,2.0,5.0,,,0.87
CC1CNc2c(cccc2S(=O)(=O)NC(CCCNC(N)=[NH2+])C(=O)[NH+]2CC[C@@H](C)CC2C(=O)[O-])C1,KXNPVXPOPUZYGB-LOEGYKASSA-O,0.17,0.46,1.5,-0.84,508.63,177.7,11.0,6.0,10.0,,,-0.84
CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,1.6,0.75,1.9,-0.4,361.37,73.3,7.0,1.0,2.0,-0.45,,-0.45
CC=CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccc([O-])cc3)[C@H]2SC1,WDLWHQDACQUCJR-QWQCLYJRSA-N,0.21,0.59,-0.39,-1.8,389.43,133.0,8.0,4.0,5.0,,,-1.8
CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-UHFFFAOYSA-O,4.4,0.21,3.7,2.5,309.45,20.3,2.0,0.0,7.0,,,2.5
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CC[NH+](CCC(=O)OC)CC1,ZTVQQQVZCWLTDF-UHFFFAOYSA-O,0.4,0.3,2.3,2.1,376.45,76.1,7.0,0.0,9.0,,,2.1
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCc2cccs2)CC1,GGCSSNBKKAUURC-UHFFFAOYSA-O,9.4,0.075,3.9,2.9,386.55,32.8,4.0,0.0,8.0,,,2.9
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1,IDBPHNDTYPBSNI-UHFFFAOYSA-O,0.45,0.086,2.8,2.7,416.52,81.1,9.0,0.0,9.0,,,2.7
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,YLXDSYKOBKBWJQ-LBPRGKRZSA-N,1.05,0.2,2.7,2.7,259.34,38.3,3.0,1.0,4.0,2.57,,2.57
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,IBIIDGIPJPTFBZ-XYWKZLDCSA-N,0.29,0.13,4.0,4.0,521.04,107.0,7.0,1.0,8.0,,,4.0
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)C[NH+](C)C,XLMALTXPSGQGBX-GCJKJVERSA-O,12.0,0.24,4.1,3.3,339.47,29.5,3.0,0.0,9.0,,,3.3
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,WMWTYOKRWGGJOA-CENSZEJFSA-N,3.6,0.1,3.3,3.3,500.57,80.7,5.0,1.0,6.0,,150.0,3.3
CCC(=O)[NH+](c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,PJMPHNIQZUBGLI-UHFFFAOYSA-P,0.89,0.16,4.1,2.8,336.47,23.5,3.0,0.0,6.0,,,2.8
CCC(C(N)=O)[NH+]1CCCC1=O,HPHUVLMMVZITSG-UHFFFAOYSA-O,0.6,0.9,-0.48,-0.48,170.21,63.4,4.0,1.0,3.0,,,-0.48
CCC(C)(C)[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,VDKMYSMWQCFYBQ-UHFFFAOYSA-O,1.2,0.017,4.0,2.0,369.5,58.6,4.0,2.0,11.0,,,2.0
CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,QLJODMDSTUBWDW-SGFUJYLFSA-M,0.87,0.043,4.2,1.4,422.55,104.1,6.0,3.0,11.0,,,1.4
CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,TUZYXOIXSAXUGO-RXYRLICESA-M,0.46,0.5,2.3,-0.54,424.53,124.3,7.0,4.0,11.0,,,-0.54
CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C([NH2+]CC[NH3+])NC(=O)C2C(O)CC[NH+]2C(=O)C(C(O)CC[NH3+])NC(=O)C(C(O)C(O)c2ccc([O-])cc2)NC(=O)C2CC(O)C[NH+]2C(=O)C(C(C)O)NC1=O,JYIKNQVWKBUSNH-UHFFFAOYSA-R,0.13,0.035,-1.4,-6.3,1093.31,412.0,25.0,16.0,23.0,,,-6.3
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,VHVPQPYKVGDNFY-UHFFFAOYSA-N,7.4,0.002,5.8,5.8,705.63,100.8,12.0,0.0,11.0,,,5.8
CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H]([NH3+])[C@H]1NC(C)=O,NENPYTRHICXVCS-YNEHKIRRSA-N,0.37,0.97,0.57,-1.7,284.35,101.6,6.0,3.0,6.0,,,-1.7
CCC1(c2cccc([O-])c2)CCCC[NH+](C)C1,JLICHNCFTLFZJN-UHFFFAOYSA-N,3.3,0.73,3.1,1.5,233.35,23.5,2.0,1.0,2.0,0.8,,0.8
CCC1(c2ccccc2)C(=O)[N-]C(=O)[N-]C1=O,DDBREPKUVSBGFI-UHFFFAOYSA-L,0.54,0.49,1.3,1.1,232.24,75.3,5.0,2.0,2.0,,,1.1
CCC1=C(C)C[NH+](C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)[NH2+][C@H]3CC[C@H](C)CC3)cc2)C1=O,OYBFYGOUEFZYBD-RUCARUNLSA-O,0.19,0.005,4.2,2.1,490.62,124.7,9.0,3.0,7.0,,,2.1
CCC1=C[C@@H]2C[NH+](C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)[NH+](C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CC[NH+]5CC[C@]31[C@@H]54)C2,GBABOYUKABKIAF-IELIFDKJSA-Q,23.0,0.87,4.1,3.9,778.93,133.9,12.0,2.0,10.0,,,3.9
CCC1=NC(=O)C2CSSCC/C=C/[C@H](CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,SOOPLNPQGWJZHY-AUPMIYMHSA-N,1.2,0.07,-0.14,-0.14,540.7,142.7,10.0,4.0,2.0,,,-0.14
CCC1NC(=O)C(NC(=O)c2ncccc2[O-])[C@@H](C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CS[C@@H]3C[NH+]4CCC3CC4)C[NH+]2C(=O)C(Cc2ccc(N(C)C)cc2)[NH+](C)C(=O)C2CCC[NH+]2C1=O,WTHRRGMBUAHGNI-SNIOVFPDSA-Q,0.67,0.34,3.0,0.59,1022.22,231.2,19.0,4.0,10.0,,,0.59
CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,GOEMGAFJFRBGGG-UHFFFAOYSA-O,1.7,0.74,1.6,-0.23,336.43,87.7,6.0,3.0,10.0,,,-0.23
CCCC(=O)OCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,KPBZROQVTHLCDU-UHFFFAOYSA-O,0.58,0.0038,4.4,4.4,456.32,90.9,7.0,1.0,10.0,,,4.4
CCCC(=O)[NH+]1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,RHLJLALHBZGAFM-UHFFFAOYSA-O,0.72,0.06,2.7,2.6,373.45,93.8,8.0,1.0,5.0,,,2.6
CCCC(C)(COC(N)=O)COC(N)=O,NPPQSCRMBWNHMW-UHFFFAOYSA-N,0.7,1.0,0.91,0.91,218.25,104.6,6.0,2.0,8.0,,,0.91
CCCC(C)C1(CC)C(=O)[N-]C(=O)[N-]C1=O,WEXRUCMBJFQVBZ-UHFFFAOYSA-L,0.91,0.39,2.0,1.9,226.27,75.3,5.0,2.0,4.0,,,1.9
CCCC(C)C1(CC)C(=O)[N-]C(=S)[N-]C1=O,IUJDSEJGGMCXSG-UHFFFAOYSA-L,1.2,0.14,2.8,2.5,242.34,58.2,4.0,2.0,4.0,,,2.5
CCCC(CCC)C(=O)[O-],NIJJYAXOARWZEE-UHFFFAOYSA-M,0.14,0.08,2.6,0.25,144.21,37.3,2.0,1.0,5.0,,,0.25
CCCC([NH2+]C(C)C(=O)[NH+]1C(C(=O)[O-])C[C@@H]2CCCC[C@@H]21)C(=O)[O-],ODAIHABQVKJNIY-DHUKMVCYSA-N,0.76,0.16,0.92,-3.2,340.41,106.9,7.0,3.0,7.0,,,-3.2
CCCC1O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,UNISKOOZAQCSPC-KWVAZRHASA-N,3.9,0.13,3.0,3.0,430.53,93.1,6.0,2.0,4.0,,,3.0
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)[O-])n1Cc1ccc(C(=O)[O-])cc1,OLWGWPVIWQZCDJ-UHFFFAOYSA-L,0.17,0.017,4.4,-1.1,424.51,92.4,6.0,2.0,10.0,,,-1.1
CCCCC(=O)[NH+](Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1)C(C(=O)[O-])C(C)C,PFBBFBWIKFELAX-UHFFFAOYSA-M,0.22,0.04,5.0,-0.22,435.52,112.1,8.0,2.0,10.0,,,-0.22
CCCCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,YZTMOTXOTDTVTA-UHFFFAOYSA-O,0.94,0.1,4.6,1.1,428.53,87.1,7.0,1.0,7.0,,,1.1
CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1,KKGQTZUTZRNORY-UHFFFAOYSA-O,17.3,0.002,3.7,2.6,307.47,66.5,3.0,3.0,12.0,,,2.6
CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,ALOBUEHUHMBRLE-UHFFFAOYSA-O,12.0,0.6,4.4,2.4,384.58,69.6,5.0,2.0,14.0,,,2.4
CCCCCNC(=[NH2+])NN=Cc1c[nH]c2ccc(OC)cc12,IKBKZGMPCYNSLU-UHFFFAOYSA-O,5.3,0.02,4.3,0.86,301.39,85.3,6.0,4.0,9.0,,,0.86
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4C[C@@H](O)[C@@H](O)NC(=O)C5[C@@H](O)[C@@H](C)C[NH+]5C(=O)C([C@@H](C)O)NC(=O)C([C@H](O)[C@@H](O)c5ccc([O-])cc5)NC(=O)C5C[C@@H](O)C[NH+]5C(=O)C([C@@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-FPVVGYDMSA-O,0.57,0.16,1.6,1.6,1140.24,377.4,24.0,14.0,14.0,,,1.6
CCCCC[C@@H](O)CC[C@H]1[C@@H]2Cc3cccc(OCC(=O)[O-])c3C[C@@H]2C[C@@H]1O,PAJMKGZZBBTTOY-YRIDSSQKSA-M,0.23,0.09,4.6,1.4,390.51,87.0,5.0,3.0,13.0,,,1.4
CCCCC[NH+](C)CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],MPBVHIBUJCELCL-UHFFFAOYSA-K,0.55,0.15,-0.58,-5.9,319.23,138.5,8.0,5.0,9.0,,,-5.9
CCCCC[NH+](CCCOC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,QNQZBKQEIFTHFZ-UHFFFAOYSA-N,0.21,0.024,4.2,1.0,461.38,95.9,7.0,2.0,14.0,,,1.0
CCCCCc1cc([O-])c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CYQFCXCEBYINGO-IAGOWNOFSA-M,8.9,0.05,7.0,7.0,314.46,29.5,2.0,1.0,4.0,,,7.0
CCCCNC(=[NH2+])NC(N)=[NH2+],XSEUMFJMFFMCIU-UHFFFAOYSA-P,1.84,0.9,-0.61,-4.1,157.22,97.8,5.0,5.0,6.0,,,-4.1
CCCCNc1cc(C(=O)[O-])cc(S(N)(=O)=O)c1Oc1ccccc1,MAEIEVLCKWDQJH-UHFFFAOYSA-M,0.16,0.031,3.4,0.56,364.42,118.7,7.0,3.0,8.0,,,0.56
CCCCS(=O)(=O)NC(Cc1ccc(OCCCCC2CC[NH2+]CC2)cc1)C(=O)[O-],COKMIXFXJJXBQG-UHFFFAOYSA-N,0.34,0.36,4.4,1.6,440.6,104.7,7.0,3.0,14.0,,,1.6
CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H]([NH2+]C)[C@@H](O)[C@@H]([NH2+]C)[C@H](O)[C@H]3O[C@@H]2O1,KHAUBYTYGDOYRU-IRXASZMISA-P,0.7,0.65,-1.4,-3.8,374.43,129.5,9.0,5.0,5.0,,,-3.8
CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,LEBVLXFERQHONN-UHFFFAOYSA-O,0.665,0.043,4.0,3.4,288.43,32.3,3.0,1.0,5.0,,,3.4
CCCC[NH2+]C(=O)[N-]S(=O)(=O)c1ccc(C)cc1,JLRGJRBPOGGCBT-UHFFFAOYSA-N,0.12,0.05,2.3,0.17,270.35,75.3,5.0,2.0,5.0,0.44,6.61,0.44
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,MDMTUGIZSFHDIC-UHFFFAOYSA-N,0.37,0.01,4.2,0.7,422.91,92.5,7.0,2.0,8.0,,,0.7
