Drug_ID,Drug,Y,source,dataset
Endralazine,[NH3+][NH+]=c1cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,2.2,vdss_lombardo,TDC
Eniporide,Cc1cc(-n2cccc2)c(S(C)(=O)=O)cc1C(=O)NC(=N)N,1.1,vdss_lombardo,TDC
Enoxacin,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21,2.0,vdss_lombardo,TDC
Enoximone,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,1.39,vdss_lombardo,TDC
Enprofylline,CCCn1c(=O)[n-]c(=O)c2nc[nH]c21,0.63,vdss_lombardo,TDC
Entacapone,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c([O-])c([N+](=O)[O-])c1,0.27,vdss_lombardo,TDC
Epiroprim,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,2.5,vdss_lombardo,TDC
Epirubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC([NH3+])C(O)C(C)O1,45.0,vdss_lombardo,TDC
Epristeride,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)[O-])CCC4(C)C3CCC12C,0.54,vdss_lombardo,TDC
Eprosartan,CCCCc1ncc(/C=C(/Cc2cccs2)C(=O)[O-])n1Cc1ccc(C(=O)[O-])cc1,0.17,vdss_lombardo,TDC
Eptaloprost,CCC#CCC(C)C(O)C#CC1C(O)CC2C/C(=C\COCCCC(=O)[O-])CC21,2.4,vdss_lombardo,TDC
Eptifibatide,NC(=[NH2+])NCCCCC1NC(=O)CCSSCC(C(N)=O)NC(=O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(=O)[O-])NC(=O)CNC1=O,0.17,vdss_lombardo,TDC
Eravacycline,C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)C[NH+]5CCCC5)cc(F)c4CC3CC12,2.3,vdss_lombardo,TDC
Ergotamine,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,3.6,vdss_lombardo,TDC
Eribulin,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)C[NH3+])C8OC)OC7C6O3)C5O4,1.46,vdss_lombardo,TDC
Eritoran,CCCCCC/C=C\CCCCCCCCCC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)CC(=O)CCCCCCCCCCC)[C@@H](OCCCCCCCCCC)[C@@H]2O)O[C@H](COC)[C@@H](OP(=O)([O-])[O-])[C@@H]1OCC[C@@H](CCCCCCC)OC,0.05,vdss_lombardo,TDC
Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.77,vdss_lombardo,TDC
Ertapenem,CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3CNC(C(=O)Nc4cccc(C(=O)[O-])c4)C3)C(C)C12,0.12,vdss_lombardo,TDC
Erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0.95,vdss_lombardo,TDC
Escin Ia,C/C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)[O-])C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,0.28,vdss_lombardo,TDC
Escin Ib,C/C=C(/C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)[O-])C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,0.23,vdss_lombardo,TDC
Esmolol,COC(=O)CCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,1.2,vdss_lombardo,TDC
Esomeprazole,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,0.2,vdss_lombardo,TDC
Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1.2,vdss_lombardo,TDC
Estramustine phosphate,CC12CCC3c4ccc(OC(=O)N(CCCl)CCCl)cc4CCC3C1CCC2OP(=O)([O-])[O-],0.12,vdss_lombardo,TDC
Ethacrynic Acid,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,0.26,vdss_lombardo,TDC
Ethambutol,CCC(CO)NCC[NH2+]C(CC)CO,1.7,vdss_lombardo,TDC
Ethimizol,CCn1cnc(C(=O)NC)c1C(=O)NC,0.73,vdss_lombardo,TDC
Ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,4.3,vdss_lombardo,TDC
Ethinylestradiol-17-Sulfate,C#CC1(OS(=O)(=O)[O-])CCC2C3CCc4cc(O)ccc4C3CCC21C,0.61,vdss_lombardo,TDC
Ethinylestradiol-3-Sulfate,C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)[O-])ccc4C3CCC21C,2.3,vdss_lombardo,TDC
Etilefrine,CC[NH2+]CC(O)c1cccc(O)c1,2.1,vdss_lombardo,TDC
Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,2.7,vdss_lombardo,TDC
Etonogestrel,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,2.87,vdss_lombardo,TDC
Etoposide,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,0.18,vdss_lombardo,TDC
Etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1.5,vdss_lombardo,TDC
Exatecan (acid),CCC(O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1c-2nc2cc(F)c(C)c3c2c1C([NH3+])CC3,0.44,vdss_lombardo,TDC
Ezogabine,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,2.5,vdss_lombardo,TDC
F992,CCC1(C)NC(=O)C(Cc2cccs2)NC(=O)C(Cc2ccccc2)NC(=O)CCCSCC(C(=O)N2CC(O)CC2C(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0.31,vdss_lombardo,TDC
Falipamil,COc1ccc(CC[NH+](C)CCCN2Cc3cc(OC)c(OC)cc3C2=O)cc1OC,2.4,vdss_lombardo,TDC
Famotidine,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,1.2,vdss_lombardo,TDC
Faropenem,CC(O)C1C(=O)N2C(C(=O)[O-])=C(C3CCCO3)SC12,0.18,vdss_lombardo,TDC
Felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,4.4,vdss_lombardo,TDC
Fenoldopam,Oc1ccc(C2C[NH2+]CCc3c2cc(O)c(O)c3Cl)cc1,0.5,vdss_lombardo,TDC
Fenoprofen,CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,0.1,vdss_lombardo,TDC
Fenoterol,CC(Cc1ccc(O)cc1)[NH2+]CC(O)c1cc(O)cc(O)c1,1.2,vdss_lombardo,TDC
Fenoximone,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,1.8,vdss_lombardo,TDC
Fenspiride,O=C1NCC2(CC[NH+](CCc3ccccc3)CC2)O1,3.0,vdss_lombardo,TDC
Fentanyl,CCC(=O)N(c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,0.89,vdss_lombardo,TDC
Finasteride,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,1.1,vdss_lombardo,TDC
Fingolimod,CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1,17.3,vdss_lombardo,TDC
Flavopiridol,C[NH+]1CCC(c2c([O-])cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,1.5,vdss_lombardo,TDC
Flecainide,O=C(NCC1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,6.1,vdss_lombardo,TDC
Fleroxacin,C[NH+]1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(CCF)c3c2F)CC1,1.6,vdss_lombardo,TDC
Flomoxef,CO[C@@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3CCO)CO[C@@H]21,0.19,vdss_lombardo,TDC
Flucloxacillin,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],0.19,vdss_lombardo,TDC
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.75,vdss_lombardo,TDC
Flucytosine,Nc1[nH]c(=O)ncc1F,0.68,vdss_lombardo,TDC
Fludarabine,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,2.2,vdss_lombardo,TDC
Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8,vdss_lombardo,TDC
Flunisolide,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,1.08,vdss_lombardo,TDC
Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1.9,vdss_lombardo,TDC
Fluorescein,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,0.14,vdss_lombardo,TDC
"Fluorouracil, 5-",O=c1[nH]cc(F)c(=O)[nH]1,0.23,vdss_lombardo,TDC
Fluphenazine,OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,2.9,vdss_lombardo,TDC
Flupirtine,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)[nH+]c1N,1.1,vdss_lombardo,TDC
Fluticasone furoate,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,4.95,vdss_lombardo,TDC
Fluticasone propionate,CCC(=O)OC1(C(=O)SCF)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.6,vdss_lombardo,TDC
Fluvastatin,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,0.42,vdss_lombardo,TDC
Folinic acid,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,0.25,vdss_lombardo,TDC
Fosaprepitant,CC(OC1OCCN(Cc2nn(P(=O)([O-])[O-])c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.07,vdss_lombardo,TDC
Foscarnet,O=C([O-])P(=O)([O-])[O-],0.5,vdss_lombardo,TDC
Fosfluconazole,O=P([O-])([O-])OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.15,vdss_lombardo,TDC
Fosfomycin,CC1OC1P(=O)([O-])[O-],0.32,vdss_lombardo,TDC
Fosinoprilat,O=C([O-])C1CC(C2CCCCC2)CN1C(=O)CP(=O)([O-])CCCCc1ccccc1,0.13,vdss_lombardo,TDC
Fosphenytoin,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)([O-])[O-],0.06,vdss_lombardo,TDC
Fostriecin,CC(O)(/C=C/C1CC=CC(=O)O1)C(CC(O)/C=C/C=C/C=C/CO)OP(=O)([O-])O,0.09,vdss_lombardo,TDC
Fotemustin,CCOP(=O)(OCC)[C@H](C)NC(=O)N(CCCl)N=O,0.62,vdss_lombardo,TDC
Frovatriptan,C[NH2+]C1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,3.6,vdss_lombardo,TDC
Fulvestrant,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,4.15,vdss_lombardo,TDC
Furosemide,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,0.12,vdss_lombardo,TDC
Fusidate sodium,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)/C1=C(\CCC=C(C)C)C(=O)[O-],0.23,vdss_lombardo,TDC
Gabapentin,[NH3+]CC1(CC(=O)[O-])CCCCC1,0.71,vdss_lombardo,TDC
Galanthamine,COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2,2.3,vdss_lombardo,TDC
Gallopamil,COc1ccc(CC[NH+](C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,1.75,vdss_lombardo,TDC
Gambogic acid,CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(C/C=C(/C)C(=O)[O-])C4=O)C3=O,0.99,vdss_lombardo,TDC
Ganciclovir,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1.0,vdss_lombardo,TDC
Garenoxacin,CC1[NH2+]Cc2cc(-c3ccc4c(=O)c(C(=O)[O-])cn(C5CC5)c4c3OC(F)F)ccc21,1.0,vdss_lombardo,TDC
Gatifloxacin,COc1c(N2CC[NH2+]C(C)C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,1.7,vdss_lombardo,TDC
Gavestinel,O=C(/C=C/c1c(C(=O)[O-])[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,0.12,vdss_lombardo,TDC
Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1,23.0,vdss_lombardo,TDC
Gemcitabine,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,1.5,vdss_lombardo,TDC
Gemifloxacin,CO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1C[NH3+],3.52,vdss_lombardo,TDC
Genaconazole,CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,0.62,vdss_lombardo,TDC
Gentamicin,C[NH2+]C(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C([NH2+]C)C3O)C2O)O1,0.33,vdss_lombardo,TDC
Gestodene,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,0.46,vdss_lombardo,TDC
GHRP-6,CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(N)Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(N)=O,0.42,vdss_lombardo,TDC
Ginkgolide A,CC1C(=O)OC2CC34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C21O,0.62,vdss_lombardo,TDC
Ginkgolide B,CC1C(=O)OC2C(O)C34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C12O,0.91,vdss_lombardo,TDC
Ginsenoside RD,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC12C,0.11,vdss_lombardo,TDC
Gisadenafil,CCOc1ncc(S(=O)(=O)N2CC[NH+](CC)CC2)cc1-c1nc(=O)c2nn(CCOC)c(CC)c2[n-]1,2.4,vdss_lombardo,TDC
Gliclazide,Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1,0.43,vdss_lombardo,TDC
Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)NC3CCC(C)CC3)cc2)C1=O,0.19,vdss_lombardo,TDC
Glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)NC3CCCCC3)cc2)cn1,0.16,vdss_lombardo,TDC
Gludopa,[NH3+]C(CCC(=O)NC(Cc1ccc(O)c(O)c1)C(=O)[O-])C(=O)[O-],0.21,vdss_lombardo,TDC
Glufosfamide,O=P(NCCCl)(NCCCl)OC1OC(CO)C(O)C(O)C1O,0.24,vdss_lombardo,TDC
Glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)[N-]C(=O)NC2CCCCC2)cc1,0.08,vdss_lombardo,TDC
Glycopyrrolate bromide,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,0.37,vdss_lombardo,TDC
Glycyrrhizin,CC1(C)[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@@H](C(=O)[O-])[C@H](O)[C@@H](O)[C@@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C,0.06,vdss_lombardo,TDC
Granisetron,Cn1nc(C(=O)NC2CC3CCCC(C2)[NH+]3C)c2ccccc21,3.7,vdss_lombardo,TDC
GSK1322322,Cc1nc(N2CCN3CCOCC3C2)c(F)c(NNC(=O)C(CC2CCCC2)CN(O)C=O)[nH+]1,0.75,vdss_lombardo,TDC
GSK2239633,COc1cccc2c1c([N-]S(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,1.65,vdss_lombardo,TDC
GSK2251052,[NH3+]CC1OB(O)c2c(OCCCO)cccc21,2.37,vdss_lombardo,TDC
GSK269984A,O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2F)n1,0.77,vdss_lombardo,TDC
GSK461364,CC(Oc1cc(-n2cnc3ccc(CN4CC[NH+](C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,12.0,vdss_lombardo,TDC
Guanfacine,NC(=[NH2+])NC(=O)Cc1c(Cl)cccc1Cl,5.6,vdss_lombardo,TDC
Haloperidol,O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,17.0,vdss_lombardo,TDC
Heroin,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)[NH+](C)CCC341,1.31,vdss_lombardo,TDC
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1.1,vdss_lombardo,TDC
Homoharringtonine,COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCC[NH+]2CCc2cc4c(cc2C13)OCO4,1.8,vdss_lombardo,TDC
Hydralazine,N[NH+]=c1[nH]ncc2ccccc12,1.5,vdss_lombardo,TDC
Hydrocortisone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0.38,vdss_lombardo,TDC
Hydroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,2.2,vdss_lombardo,TDC
Hydromorphone,C[NH+]1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,4.3,vdss_lombardo,TDC
Hydroxychloroquine,CC[NH+](CCO)CCCC(C)Nc1cc[nH+]c2cc(Cl)ccc12,700.0,vdss_lombardo,TDC
"Hydroxycotinine, 3'-",CN1C(=O)C([O-])CC1c1cccnc1,0.85,vdss_lombardo,TDC
"Hydroxydihydroquinidine, 3(S)-",CCC1(O)C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,6.8,vdss_lombardo,TDC
"Hydroxyimipramine, 2-",C[NH+](C)CCCN1c2ccccc2CCc2cc(O)ccc21,6.6,vdss_lombardo,TDC
Hydroxymidazolam,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.77,vdss_lombardo,TDC
Hydroxysafflor yellow A,O=C1C(C2OC(CO)C(O)C(O)C2O)=C([O-])/C(=C([O-])/C=C/c2ccc(O)cc2)C(=O)C1(O)C1OC(CO)C(O)C(O)C1O,0.2,vdss_lombardo,TDC
"Hydroxystaurosporine, 7-",C[NH2+]C1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,0.15,vdss_lombardo,TDC
Hydroxyurea,NC(=O)NO,0.52,vdss_lombardo,TDC
Hypericin,Cc1cc(O)c2c(=O)c3c(O)cc([O-])c4c5c([O-])cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,0.25,vdss_lombardo,TDC
Ibandronic Acid (Ibandronate),CCCCC[NH+](C)CCC(O)(P(=O)([O-])[O-])P(=O)([O-])O,0.55,vdss_lombardo,TDC
Ibrutinib,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,9.75,vdss_lombardo,TDC
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,0.15,vdss_lombardo,TDC
Ibutilide,CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,12.0,vdss_lombardo,TDC
Idarubicin,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC([NH3+])C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,38.0,vdss_lombardo,TDC
Idazoxan,c1ccc2c(c1)OCC(C1=[NH+]CCN1)O2,3.3,vdss_lombardo,TDC
Idrocilamide,O=C(/C=C/c1ccccc1)NCCO,0.11,vdss_lombardo,TDC
IDX899,COP(=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,0.56,vdss_lombardo,TDC
IDX989,COP(=O)(c1cc(C)cc(/C=C\C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)c(F)c12,0.97,vdss_lombardo,TDC
Ifetroban,CCCCCNC(=O)c1coc(C2C3CCC(O3)C2Cc2ccccc2CCC(=O)[O-])n1,4.4,vdss_lombardo,TDC
Ifosfamide,O=P1(NCCCl)OCCCN1CCCl,0.62,vdss_lombardo,TDC
Iloprost,CC#CCC(C)C(O)/C=C/C1C(O)CC2C/C(=C/CCCC(=O)[O-])CC21,0.37,vdss_lombardo,TDC
Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,3.9,vdss_lombardo,TDC
Imidafenacin,Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,1.51,vdss_lombardo,TDC
Imipenem,CC(O)C1C(=O)N2C(C(=O)[O-])=C(SCCNC=[NH2+])CC12,0.24,vdss_lombardo,TDC
Imipramine,C[NH+](C)CCCN1c2ccccc2CCc2ccccc21,12.0,vdss_lombardo,TDC
Imipramine N-oxide,C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,1.9,vdss_lombardo,TDC
Indacaterol,CCc1cc2c(cc1CC)CC([NH2+]CC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,19.4,vdss_lombardo,TDC
Indinavir,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,0.82,vdss_lombardo,TDC
Indisulam,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,0.68,vdss_lombardo,TDC
Indocyanine Green,CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,0.04,vdss_lombardo,TDC
Indomethacin,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,0.1,vdss_lombardo,TDC
Indoramin,O=C(NC1CC[NH+](CCc2c[nH]c3ccccc23)CC1)c1ccccc1,4.9,vdss_lombardo,TDC
INO-1001,NC(=O)c1cccc(N)c1,1.9,vdss_lombardo,TDC
Inogatran,NC(=[NH2+])NCCCNC(=O)C1CCCCN1C(=O)C(CC1CCCCC1)[NH2+]CC(=O)[O-],0.26,vdss_lombardo,TDC
Intoplicine,Cc1c[nH+]c(NCCC[NH+](C)C)c2c1[nH]c1ccc3cc(O)ccc3c12,11.0,vdss_lombardo,TDC
Iodixanol,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.2,vdss_lombardo,TDC
Iododoxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC([NH3+])C(I)C(C)O1,53.6,vdss_lombardo,TDC
Iohexol,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.16,vdss_lombardo,TDC
Iomeprol,CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.23,vdss_lombardo,TDC
Iopamidol,CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,0.28,vdss_lombardo,TDC
Iopromide,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,0.22,vdss_lombardo,TDC
Iothalamic acid (Iothalamate),CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,0.17,vdss_lombardo,TDC
Ipratropium,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,5.1,vdss_lombardo,TDC
Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.94,vdss_lombardo,TDC
Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,3.5,vdss_lombardo,TDC
Irofulven,CC1=C(CO)C2=C(C)C3(CC3)C(C)(O)C(=O)C2=C1,3.1,vdss_lombardo,TDC
Isavuconazole,CC(c1nc(-c2ccc(C#N)cc2)cs1)C(O)(Cn1cncn1)c1cc(F)ccc1F,5.37,vdss_lombardo,TDC
Isepamicin,C[NH2+]C1C(O)C(OC2C(NC(=O)C(O)C[NH3+])CC(N)C(OC3OC(C[NH3+])C(O)C(O)C3O)C2O)OCC1(C)O,0.32,vdss_lombardo,TDC
Isoglycirrhizinate (acid),CC1(C)[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@@H](C(=O)[O-])[C@H](O)[C@@H](O)[C@@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C,0.05,vdss_lombardo,TDC
Isomazole,COc1cc(S(C)=O)ccc1-c1nc2ccncc2[nH]1,1.67,vdss_lombardo,TDC
Isoniazide,NNC(=O)c1ccncc1,0.82,vdss_lombardo,TDC
Isoproterenol,CC(C)[NH2+]CC(O)c1ccc(O)c(O)c1,1.5,vdss_lombardo,TDC
