chembl_id,bioavailability_frac,caco2_log_permeability,caco2_permeability_cm_s,clearance_cell_uL_min_1e6,clearance_hepatic_l_h,clearance_l_h,fu_frac,half_life_h,microsome_clearance_uL_min_mg,microsome_clint_l_h,microsome_hepatic_l_h,vd_l_kg,smiles
CHEMBL186995,,,,,,,0.1341,,36.0,129.60000000000002,37.674418604651166,,
CHEMBL1870384,,,,,,,,,19.0,68.39999999999999,24.782608695652172,,
CHEMBL1871428,,,,,,,0.6347,,,,,,
CHEMBL1873475,,,,,,,0.03430000000000011,,150.0,539.9999999999999,67.5,,
CHEMBL1874317,,,,150.0,89.9999900000011,,,,150.0,539.9999999999999,67.5,,
CHEMBL187857,,,,,,,,,83.0,298.8,56.16541353383459,,
CHEMBL1880028,,,,,,,0.020000000000000018,,,,,,
CHEMBL188185,,,,,,,,2.0,,,,,
CHEMBL188705,,,,,,,,,103.0,370.79999999999995,60.58823529411764,,
CHEMBL188921,,,,,,,,3.3,,,,,
CHEMBL189,,,,,,,,0.8,,,,,
CHEMBL1890087,,,,144.54,89.99998962225109,,0.0029000000000000137,,150.0,539.9999999999999,67.5,,
CHEMBL1891338,,,,150.0,89.9999900000011,,0.0026999999999999247,,112.2,403.91999999999996,62.25647348951911,,
CHEMBL189181,,,,,,,,,28.0,100.8,32.30769230769231,,
CHEMBL1892766,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL189475,,,,3.0,89.99950000277776,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1896341,,,,150.0,89.9999900000011,,,,150.0,539.9999999999999,67.5,,
CHEMBL189963,,,,,,,0.2279000000000001,,,,,,
CHEMBL190,,,,4.375,89.99961956698434,,0.563,7.2,4.79,17.244,7.868224128490601,,
CHEMBL1900528,,,,69.0,89.99974444583401,,0.5229999999999999,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL19019,,,,,,,,1.9,,,,,
CHEMBL190243,,,,6.0,89.99975000069445,,0.3237000000000001,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1904754,,,,129.0,89.99998837209453,,,,150.0,539.9999999999999,67.5,,
CHEMBL1904775,,,,,,,0.02190000000000003,,,,,,
CHEMBL190558,,,12.8,,,,,,,,,,CN(C)C(=O)Cn1c(-c2ccoc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21
CHEMBL190747,,,,,,,0.0020000000000000018,,43.5,156.6,41.87165775401069,,
CHEMBL1908301,,,,,,,,2.1,,,,,
CHEMBL1908351,,,,,,,,19.0,,,,,
CHEMBL1908353,,,,,,,,150.0,,,,,
CHEMBL1908354,,,,,,,,1.0,,,,,
CHEMBL191,,,1.15,,,,,1.8,,,,,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
CHEMBL191003,,,,,,,0.18989999999999996,,,,,,
CHEMBL1914480,,,,,,,0.4655,,,,,,
CHEMBL191528,,,,50.02499999999999,89.99996724604203,,,,,,,,
CHEMBL191553,,,,,,,0.10089999999999999,,12.0,43.199999999999996,17.419354838709676,,
CHEMBL1916024,,,,,,,0.07680000000000009,,,,,,
CHEMBL1916082,,,,47.91,89.99996869130707,,0.013900000000000023,,54.5,196.2,46.9377990430622,,
CHEMBL1916083,,,,64.0,89.9999765625061,,,,14.0,50.4,19.6875,,
CHEMBL1916084,,,,27.0,89.99994444447874,,,,60.0,215.99999999999997,49.09090909090908,,
CHEMBL1916085,,,,48.44,89.99996903386698,,0.017099999999999893,,94.0,338.4,58.74999999999999,,
CHEMBL1916086,,,,40.0,89.99996250001563,,,,150.0,539.9999999999999,67.5,,
CHEMBL1916260,,,,5.29,89.99971644701813,,0.0021999999999999797,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1916261,,,,56.0,89.99997321429369,,0.007199999999999984,,35.0,125.99999999999997,37.05882352941176,,
CHEMBL1916263,,,,7.0,89.99978571479592,,0.0012999999999999678,,9.0,32.400000000000006,13.728813559322036,,
CHEMBL1916264,,,,56.0,89.99997321429369,,,,72.0,259.20000000000005,53.114754098360656,,
CHEMBL1916266,,,,9.95,89.99984924648368,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1916267,,,,12.0,89.99987500017362,,,,59.0,212.4,48.71559633027523,,
CHEMBL1916269,,,,27.0,89.99994444447874,,,,13.0,46.8,18.57142857142857,,
CHEMBL1916270,,,,52.0,89.9999711538554,,,,27.0,97.2,31.558441558441558,,
CHEMBL1916271,,,,22.25,89.99989962420885,,0.013000000000000012,,137.0,493.19999999999993,65.93582887700535,,
CHEMBL1916272,,,,8.245000000000001,89.99969440471925,,0.004899999999999904,,23.6,84.96000000000001,28.85869565217391,,
CHEMBL1916273,,,,51.0,89.9999705882449,,,,12.0,43.199999999999996,17.419354838709676,,
CHEMBL1916274,,,,12.0,89.99987500017362,,0.0013999999999999568,,38.0,136.79999999999998,38.86363636363637,,
CHEMBL1916275,,,,21.0,89.99992857148526,,,,53.0,190.79999999999998,46.31067961165049,,
CHEMBL1916276,,,,5.0,89.999700001,,,,59.0,212.4,48.71559633027523,,
CHEMBL1916277,,,,17.0,89.99991176479239,,0.006599999999999939,,58.0,208.8,48.33333333333333,,
CHEMBL1916278,,,,14.0,89.99989285727041,,0.0262,,6.0,21.599999999999998,9.642857142857142,,
CHEMBL1916279,,,,18.0,89.99991666674383,,0.008199999999999985,,27.0,97.2,31.558441558441558,,
CHEMBL1916280,,,,17.32,89.99991339500251,,0.005900000000000016,,15.67,56.412,21.475559616263133,,
CHEMBL1916281,,,,7.0,89.99978571479592,,0.012699999999999934,,31.0,111.60000000000001,34.44444444444444,,
CHEMBL1916282,,,,9.57,89.99983097580811,,0.011099999999999999,,39.83,143.38799999999998,39.905376822887675,,
CHEMBL1916283,,,,8.0,89.99981250039062,,0.008099999999999996,,42.0,151.2,41.086956521739125,,
CHEMBL1916284,,,,18.84,89.99992038223603,,0.0043000000000000815,,120.0,431.99999999999994,63.52941176470587,,
CHEMBL1916285,,,,10.0,89.99985000025,,,,9.0,32.400000000000006,13.728813559322036,,
CHEMBL1916286,,,,15.0,89.99990000011111,,0.014899999999999913,,14.0,50.4,19.6875,,
CHEMBL1916287,,,,12.0,89.99987500017362,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1916288,,,,4.5,89.9996250017361,,0.04370000000000007,,5.0,18.0,8.181818181818182,,
CHEMBL1916289,,,,4.005,89.99960030128808,,0.013599999999999945,,10.0,36.0,15.0,,
CHEMBL1916532,,,,138.04,89.99998913358579,,0.17280000000000006,,,,,,
CHEMBL1916533,,,,39.81,89.99996232104064,,,,,,,,
CHEMBL1916534,,,,,,,0.17610000000000003,,,,,,
CHEMBL1916535,,,,,,,0.2531,,,,,,
CHEMBL1916536,,,,,,,0.0948,,,,,,
CHEMBL1916537,,,,,,,0.04180000000000006,,,,,,
CHEMBL1916538,,,,,,,0.25749999999999995,,,,,,
CHEMBL1916539,,,,,,,0.30879999999999996,,,,,,
CHEMBL1916540,,,,,,,0.11409999999999998,,,,,,
CHEMBL1916541,,,,,,,0.4034,,,,,,
CHEMBL1916542,,,,150.0,89.9999900000011,,,,,,,,
CHEMBL1916543,,,,,,,0.27549999999999997,,,,,,
CHEMBL1916545,,,,,,,0.3137000000000001,,,,,,
CHEMBL1916546,,,,35.48,89.9999577226805,,0.1663,,,,,,
CHEMBL1916547,,,,,,,0.4427,,,,,,
CHEMBL1917418,,,,,,,,,7.0,25.2,11.05263157894737,,
CHEMBL1917419,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917421,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917422,,,,,,,,,11.0,39.599999999999994,16.22950819672131,,
CHEMBL1917423,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917424,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917425,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917426,,,,34.0,89.99995588237456,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917427,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917428,,,,,,,,,4.0,14.399999999999999,6.666666666666665,,
CHEMBL1917430,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917431,,,,,,,0.012699999999999934,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917432,,,,,,,0.03500000000000003,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917433,,,,4.88,89.99969243802647,,0.010400000000000076,,,,,,
CHEMBL1917434,,,,,,,,,32.0,115.19999999999999,35.12195121951219,,
CHEMBL1917435,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917436,,,,,,,,,36.0,129.60000000000002,37.674418604651166,,
CHEMBL1917438,,,,,,,0.0031999999999999806,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917439,,,,,,,,,16.0,57.599999999999994,21.818181818181817,,
CHEMBL1917440,,,,,,,0.012399999999999967,,8.0,28.799999999999997,12.413793103448272,,
CHEMBL1917441,,,,,,,0.0036000000000000476,,12.0,43.199999999999996,17.419354838709676,,
CHEMBL1917442,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917443,,,,3.0,89.99950000277776,,0.008099999999999996,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917444,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917445,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917446,,,,,,,0.005199999999999982,,7.0,25.2,11.05263157894737,,
CHEMBL1917447,,,,,,,0.0043000000000000815,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917448,,,,,,,0.006299999999999972,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917449,,,,,,,0.04280000000000006,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917450,,,,3.0,89.99950000277776,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917454,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917456,,,,3.0,89.99950000277776,,0.03739999999999999,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917457,,,,,,,0.12379999999999991,,,,,,
CHEMBL1917458,,,,3.0,89.99950000277776,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917459,,,,3.0,89.99950000277776,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1917461,,,,,,,,,5.0,18.0,8.181818181818182,,
CHEMBL192,,,,83.3,89.99994981932302,,0.04469999999999996,3.9,131.83,474.588,65.25160864543805,,
CHEMBL1921913,,,,53.0,89.99997169812211,,0.0019000000000000128,,66.0,237.59999999999997,51.206896551724135,,
CHEMBL1921917,,,,82.0,89.99998170732079,,0.4827,,45.0,161.99999999999997,42.63157894736842,,
CHEMBL1921919,,,,36.08,89.99995842573982,,0.7681,,81.0,291.59999999999997,55.64885496183206,,
CHEMBL1921922,,,,,,,0.13950000000000007,,,,,,
CHEMBL1921923,,,,66.0,89.99997727273302,,0.7762,,79.0,284.4,55.11627906976744,,
CHEMBL1921925,,,,65.0,89.99997692308284,,0.0031999999999999806,,72.0,259.20000000000005,53.114754098360656,,
CHEMBL1921926,,,,66.0,89.99997727273302,,0.04280000000000006,,38.0,136.79999999999998,38.86363636363637,,
CHEMBL1921931,,,,60.0,89.99997500000696,,0.007499999999999951,,100.0,360.0,60.0,,
CHEMBL1921936,,,,66.0,89.99997727273302,,0.031299999999999994,,66.0,237.59999999999997,51.206896551724135,,
CHEMBL1921939,,,,77.0,89.99998051948474,,0.02510000000000001,,102.0,367.2,60.39473684210526,,
CHEMBL1921942,,,,64.0,89.9999765625061,,0.01419999999999999,,62.0,223.20000000000002,49.82142857142856,,
CHEMBL1921944,,,,67.0,89.99997761194587,,0.0040000000000000036,,34.0,122.4,36.42857142857143,,
CHEMBL1921946,,,,64.0,89.9999765625061,,0.11650000000000005,,66.0,237.59999999999997,51.206896551724135,,
CHEMBL1922048,,,,39.0,89.99996153847798,,0.12890000000000001,,37.0,133.2,38.275862068965516,,
CHEMBL1922054,,,,150.0,89.9999900000011,,0.07050000000000001,,150.0,539.9999999999999,67.5,,
CHEMBL1922055,,,,110.0,89.99998636363844,,0.020000000000000018,,150.0,539.9999999999999,67.5,,
CHEMBL1922056,,,,55.0,89.99997272728099,,0.023400000000000087,,53.0,190.79999999999998,46.31067961165049,,
CHEMBL1922094,,,,3.0,89.99950000277776,,,,10.96,39.456,16.181102362204726,,
CHEMBL19224,,,,,,,,1.8,,,,,
CHEMBL192244,,,37.449999999999996,,,,,,,,,,Cn1cncc1CN1CC(N(Cc2ccccn2)S(=O)(=O)c2ccccn2)Cc2cc(C#N)ccc21
CHEMBL1922660,,,,6.92,89.99978323751628,,,,9.77,35.172,14.711393675757067,,
CHEMBL192307,,,,,,,0.062000000000000055,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1923433,,,,,,,0.029300000000000104,,,,,,
CHEMBL19236,,,,3.0,89.99950000277776,,,2.2,,,,,
CHEMBL1924029,,,,,,,0.7801,,,,,,
CHEMBL1924032,,,,38.0,89.9999605263331,,,,41.0,147.6,40.54945054945055,,
CHEMBL1924034,,,,16.0,89.99990625009765,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1924046,,,,101.0,89.9999851485173,,0.08540000000000003,,56.0,201.6,47.54716981132075,,
CHEMBL1924047,,,,76.0,89.99998026316221,,0.02400000000000002,,85.0,306.0,56.666666666666664,,
CHEMBL1924049,,,,130.0,89.99998846153994,,0.008099999999999996,,88.0,316.79999999999995,57.391304347826086,,
CHEMBL1927039,,,,,,,,,45.0,161.99999999999997,42.63157894736842,,
CHEMBL192704,,,59.0,,,,,,,,,,O=C1O[C@]2(CN3CCC2CC3)CN1c1ccc(Cl)s1
CHEMBL1927707,,,,,,,,,30.0,107.99999999999999,33.74999999999999,,
CHEMBL1928257,,,7.0,,,,,,,,,,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(CC)n(Cc3ccccn3)nc2c(=O)[nH]1
CHEMBL1929039,,,,19.45,89.99990342281765,,0.2619,,14.45,52.019999999999996,20.178432893716057,,
CHEMBL193,,,,86.195,89.99996150292857,,0.0383,1.9,150.0,539.9999999999999,67.5,,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
CHEMBL193016,,,0.76,,,,,,,,,,O=C1NC[C@@]2(CN3CCC2CC3)O1
CHEMBL193240,,,,150.0,89.9999900000011,,0.0050000000000000044,,5.0,18.0,8.181818181818182,,
CHEMBL1933593,,,,,,,0.34939999999999993,,,,,,
CHEMBL1934266,,,,59.87,89.9999749457227,,0.03500000000000003,,7.5,26.999999999999996,11.739130434782606,,
CHEMBL1934267,,,,6.5,89.99967500151388,,0.04569999999999996,,,,,,
CHEMBL1934268,,,,5.5,89.99972727355372,,0.01629999999999998,,4.2,15.120000000000001,6.974169741697418,,
CHEMBL1934269,,,,18.0,89.99991666674383,,0.01419999999999999,,17.0,61.2,22.83582089552239,,
CHEMBL1934270,,,,53.0,89.99997169812211,,,,37.0,133.2,38.275862068965516,,
CHEMBL1934271,,,,15.0,89.99990000011111,,0.020000000000000018,,43.0,154.79999999999998,41.61290322580645,,
CHEMBL1934413,,,,17.0,89.99991176479239,,0.018299999999999983,,11.0,39.599999999999994,16.22950819672131,,
CHEMBL1934414,,,,8.0,89.99981250039062,,0.021399999999999975,,21.0,75.6,26.619718309859152,,
CHEMBL1934415,,,,8.0,89.99981250039062,,0.022399999999999975,,33.0,118.79999999999998,35.78313253012048,,
CHEMBL1934416,,,,3.0,89.99950000277776,,0.08360000000000001,,6.0,21.599999999999998,9.642857142857142,,
CHEMBL1934417,,,,9.9,89.99984848510356,,0.10089999999999999,,3.9,14.04,6.512059369202226,,
CHEMBL1934418,,,,5.0,89.999700001,,0.053199999999999914,,25.0,90.0,30.0,,
CHEMBL1934419,,,,4.0,89.99962500156249,,0.20829999999999993,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1934420,,,,3.0,89.99950000277776,,0.45409999999999995,,5.0,18.0,8.181818181818182,,
CHEMBL1934421,,,,3.0,89.99950000277776,,0.11650000000000005,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1934422,,,,3.0,89.99950000277776,,0.20829999999999993,,7.0,25.2,11.05263157894737,,
CHEMBL1934423,,,,3.0,89.99950000277776,,0.0736,,,,,,
CHEMBL1934426,,,,3.0,89.99950000277776,,0.0736,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL193544,,,,11.0,89.99986363657025,,,,22.0,79.19999999999999,27.499999999999996,,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1
CHEMBL193836,,,,,,,0.05680000000000007,,,,,,
CHEMBL1938400,,,,47.955000000000005,89.99995954861765,,,,150.0,539.9999999999999,67.5,,
CHEMBL1938680,,,,3.0,89.99950000277776,,0.026800000000000046,,,,,,
CHEMBL1938681,,,,,,,0.026800000000000046,,,,,,
CHEMBL1939414,,,,,,,0.3545999999999999,,16.0,57.599999999999994,21.818181818181817,,
CHEMBL1939418,,,,,,,,,15.0,53.99999999999999,20.769230769230766,,
CHEMBL1939560,,,,6.105,89.99974786969055,,0.10950000000000004,,5.25,18.9,8.55203619909502,,
CHEMBL1940652,,,,25.7,89.9999416342791,,,,54.95,197.82,47.122439256788944,,
CHEMBL1940832,,,,3.0,89.99950000277776,,0.28469999999999995,,,,,,
CHEMBL1944690,,,,42.0,89.99996428572845,,,,19.0,68.39999999999999,24.782608695652172,,
CHEMBL1944691,,,,12.5,89.99971591050561,,,,17.0,61.2,22.83582089552239,,
CHEMBL1944692,,,,14.0,89.99989285727041,,,,22.0,79.19999999999999,27.499999999999996,,
CHEMBL1944693,,,,29.0,89.9999482758918,,0.05940000000000001,,19.0,68.39999999999999,24.782608695652172,,
CHEMBL1944694,,,,29.0,89.9999482758918,,0.04469999999999996,,25.0,90.0,30.0,,
CHEMBL1945031,,,,24.0,89.9999375000434,,,,16.0,57.599999999999994,21.818181818181817,,
CHEMBL1945033,,,,6.5,89.99967500151388,,0.17610000000000003,,25.0,90.0,30.0,,
CHEMBL1945034,,,,3.0,89.99950000277776,,,,,,,,
CHEMBL1945035,,,,107.0,89.9999859813106,,,,27.5,98.99999999999999,31.935483870967737,,
CHEMBL1945037,,,,19.0,89.99992105270083,,,,9.0,32.400000000000006,13.728813559322036,,
CHEMBL1945040,,,,,,,,,22.0,79.19999999999999,27.499999999999996,,
CHEMBL1945041,,,,60.0,89.99997500000696,,,,47.0,169.2,43.60824742268041,,
CHEMBL1945044,,,,,,,0.13680000000000003,,35.0,125.99999999999997,37.05882352941176,,
CHEMBL1945289,,,,13.0,89.99988461553255,,,,62.0,223.20000000000002,49.82142857142856,,
CHEMBL1945290,,,,,,,,,44.0,158.39999999999998,42.12765957446808,,
CHEMBL1945291,,,,33.0,89.99995454547751,,,,45.0,161.99999999999997,42.63157894736842,,
CHEMBL1945298,,,,23.0,89.99993478265596,,,,14.0,50.4,19.6875,,
CHEMBL1945299,,,,,,,,,56.0,201.6,47.54716981132075,,
CHEMBL1945883,,,,139.0,89.99998920863439,,,,150.0,539.9999999999999,67.5,,
CHEMBL1947153,,,,29.0,89.9999482758918,,,,27.0,97.2,31.558441558441558,,
CHEMBL1947155,,,,108.0,89.99998611111326,,,,104.5,376.2,60.873786407766985,,
CHEMBL1947157,,,,41.585,89.99984531738684,,,,63.0,226.8,50.176991150442475,,
CHEMBL19490,,,,3.0,89.99950000277776,,,,,,,,
CHEMBL1949685,,,,,,,0.3288,,,,,,
CHEMBL1950720,,,,10.47,89.99985673375241,,0.05680000000000007,,21.38,76.96799999999999,26.957130848977304,,
CHEMBL1950721,,,,,,,0.5115000000000001,,,,,,
CHEMBL1950722,,,,,,,0.4427,,,,,,
CHEMBL1950723,,,,,,,0.3599,,,,,,
CHEMBL1950724,,,,,,,0.661,,,,,,
CHEMBL1950725,,,,,,,0.6712,,,,,,
CHEMBL1950727,,,,,,,0.36529999999999996,,,,,,
CHEMBL1950728,,,,,,,0.3339,,,,,,
CHEMBL1950729,,,,,,,0.5516,,,,,,
CHEMBL1950730,,,,,,,0.376,,,,,,
CHEMBL1950732,,,,,,,0.19709999999999994,,,,,,
CHEMBL1950841,,,,,,,0.2619,,,,,,
CHEMBL1950842,,,,,,,0.5058,,,,,,
CHEMBL1950843,,,,,,,0.26639999999999997,,,,,,
CHEMBL1950844,,,,,,,0.0262,,,,,,
CHEMBL1950845,,,,,,,0.0676000000000001,,,,,,
CHEMBL1950846,,,,,,,0.40890000000000004,,,,,,
CHEMBL1950847,,,,,,,0.5115000000000001,,,,,,
CHEMBL1950848,,,,,,,0.2619,,,,,,
CHEMBL1950849,,,,,,,0.2801,,,,,,
CHEMBL1950850,,,,,,,0.26639999999999997,,,,,,
CHEMBL1950851,,,,,,,0.07840000000000003,,,,,,
CHEMBL1950852,,,,,,,0.25749999999999995,,,,,,
CHEMBL1950855,,,,,,,0.029300000000000104,,,,,,
CHEMBL1950856,,,,,,,0.02290000000000003,,,,,,
CHEMBL1950859,,,,,,,0.2619,,,,,,
CHEMBL1950860,,,,,,,0.0928,,,,,,
CHEMBL1950864,,,,19.95,89.99992481209289,,,,,,,,
CHEMBL1951032,,,,6.31,89.9997622827198,,,,19.95,71.82,25.66833452466047,,
CHEMBL1951072,,,,,,,0.04370000000000007,,,,,,
CHEMBL1951073,,,,,,,0.028000000000000025,,,,,,
CHEMBL1951074,,,,,,,0.30879999999999996,,,,,,
CHEMBL1951075,,,,,,,0.2801,,,,,,
CHEMBL1951077,,,,,,,0.26639999999999997,,,,,,
CHEMBL1951079,,,,,,,0.1864,,,,,,
CHEMBL1951080,,,,,,,0.12629999999999997,,,,,,
CHEMBL1951081,,,,,,,0.029300000000000104,,,,,,
CHEMBL1951164,,,,,,,0.1795,,,,,,
CHEMBL1951165,,,,,,,0.0050000000000000044,,,,,,
CHEMBL1951181,,,,,,,0.12629999999999997,,,,,,
CHEMBL1951182,,,,,,,0.30390000000000006,,,,,,
CHEMBL1951183,,,,,,,0.4034,,,,,,
CHEMBL1951184,,,,,,,0.1509999999999999,,,,,,
CHEMBL1951186,,,,,,,0.1934999999999999,,,,,,
CHEMBL1951187,,,,,,,0.08719999999999994,,,,,,
CHEMBL1951444,,,,67.61,89.99997781393832,,,,,,,,
CHEMBL1951575,,,,6.0,89.99975000069445,,0.0015000000000000568,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1951893,,,,,,,,,26.33,94.78799999999998,31.04546050045853,,
CHEMBL1951898,,,,,,,,,18.0,64.80000000000001,23.82352941176471,,
CHEMBL1951902,,,,,,,,,21.0,75.6,26.619718309859152,,
CHEMBL1951904,,,,,,,,,150.0,539.9999999999999,67.5,,
CHEMBL1951906,,,,,,,,,30.5,109.8,34.099378881987576,,
CHEMBL1951908,,,,,,,,,27.5,98.99999999999999,31.935483870967737,,
CHEMBL1951909,,,,,,,,,7.5,26.999999999999996,11.739130434782606,,
CHEMBL1951916,,,,,,,,,150.0,539.9999999999999,67.5,,
CHEMBL1951918,,,,,,,,,17.33,62.38799999999999,23.165008168721222,,
CHEMBL1952100,,,,,,,,,17.5,62.999999999999986,23.33333333333333,,
CHEMBL1952147,,,,,,,0.032099999999999906,,,,,,
CHEMBL1952329,,,,,,,0.03909999999999991,,,,,,
CHEMBL195309,,,,,,,0.06900000000000006,,,,,,
CHEMBL1956112,,,,40.74,89.9999631811638,,,,9.33,33.58800000000001,14.153042305747515,,
CHEMBL1956129,,,,3.0,89.99950000277776,,,,,,,,
CHEMBL1956163,,,,150.0,89.9999900000011,,0.015999999999999903,,24.55,88.38000000000001,29.637826961770628,,
CHEMBL1956334,,,,150.0,89.9999900000011,,0.013000000000000012,,16.6,59.76,22.43243243243243,,
CHEMBL1957266,,,,16.6,89.99990963864494,,0.008599999999999941,,,,,,
CHEMBL1957361,,,,,,,0.0006999999999999229,,,,,,
CHEMBL1957363,,,,,,,0.0026000000000000467,,,,,,
CHEMBL1957367,,,,,,,0.0010999999999999899,,,,,,
CHEMBL1957369,,,,,,,0.0008000000000000229,,,,,,
CHEMBL1957370,,,,,,,0.005499999999999949,,,,,,
CHEMBL1957380,,,,,,,0.007000000000000006,,,,,,
CHEMBL1957381,,,,,,,0.0040999999999999925,,,,,,
CHEMBL1957460,,,,,,,0.0013999999999999568,,,,,,
CHEMBL1957462,,,,,,,0.0036000000000000476,,,,,,
CHEMBL1957480,,,,,,,0.011099999999999999,,,,,,
CHEMBL1957481,,,,,,,0.02290000000000003,,,,,,
CHEMBL1957840,,,,24.55,89.99993890024514,,0.036599999999999966,,,,,,
CHEMBL1957841,,,,,,,0.03069999999999995,,,,,,
CHEMBL1957845,,,,,,,0.21989999999999998,,,,,,
CHEMBL1957848,,,,,,,0.10089999999999999,,,,,,
CHEMBL1957851,,,,,,,0.1189,,,,,,
CHEMBL1962788,,,,3.0,89.99950000277776,,,,32.36,116.49599999999998,35.36182612918892,,
CHEMBL1962896,,,,,,,0.1631999999999999,,,,,,
CHEMBL1963131,,,,,,,0.21209999999999996,,,,,,
CHEMBL1963231,,,,119.0,89.99998739495976,,0.2279000000000001,,42.0,151.2,41.086956521739125,,
CHEMBL1963249,,,,26.92,89.99994427938071,,,,,,,,
CHEMBL1963462,,,,128.0,89.99998828125153,,0.42010000000000003,,35.0,125.99999999999997,37.05882352941176,,
CHEMBL196707,,,,5.45,89.9996550648803,,0.07680000000000009,,5.0,18.0,8.181818181818182,,
CHEMBL196945,,,,38.9,89.99996143960522,,,,,,,,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1
CHEMBL1972466,,,,,,,0.053199999999999914,,,,,,
CHEMBL1975242,,,,150.0,89.9999900000011,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL197538,,,3.78,,,,,,,,,,N#Cc1cnc2cnc(NCCN3CCOCC3)cc2c1Nc1ccc(F)c(Cl)c1
CHEMBL197714,,,,,,,,,66.0,237.59999999999997,51.206896551724135,,
CHEMBL197815,,,30.0,,,,,,,,,,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccccc2C(F)(F)F)sc2c1CCC(C)(C)C2
CHEMBL198083,,,30.0,,,,,,,,,,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccccc2OC(F)(F)F)sc2c1CCC(C)(C)C2
CHEMBL198114,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL198150,,,,,,,,,18.5,66.6,24.30656934306569,,
CHEMBL1981917,,,,13.18,89.9998861913427,,0.05680000000000007,,,,,,
CHEMBL1984039,,,,61.66,89.99997567305232,,,,,,,,
CHEMBL198497,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL198758,,,,,,,,,3.0,10.799999999999999,5.094339622641509,,
CHEMBL1987793,,,,123.03,89.9999878078534,,,,,,,,
CHEMBL198876,,,239.0,,,,,,,,,,Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc(NC(C)C)c1C#N
CHEMBL199210,,,0.01,,,,,,,,,,N#Cc1cnc2cnc(NCCN3CCOCC3)cc2c1Nc1ccc(Sc2ccccc2)cc1
CHEMBL199403,,,30.0,,,,,,,,,,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccnn2C)sc2c1CCC(C)(C)C2
CHEMBL199454,,,7.7,,,,,,,,,,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1
CHEMBL1994944,,,,,,,0.0676000000000001,,,,,,
